Description,Price,ImageLink,Rating,ReviewCount,Url
Amazon Basics Classic Puresoft Padded Mid-Back Office Computer Desk Chair with Armrest - Black,$77.66,https://m.media-amazon.com/images/I/71i08qnZeDL._AC_UL320_.jpg,4.2 out of 5 stars,"23,702",https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A033751225Q1QCADXI8YQ&url=%2FAmazonBasics-Puresoft-PU-Padded-Mid-Back-Computer%2Fdp%2FB081H3Y5NW%2Fref%3Dsr_1_1_sspa%3Fkeywords%3Dchairs%26qid%3D1662880427%26sr%3D8-1-spons%26psc%3D1&qualifier=1662880427&id=3740966683477972&widgetName=sp_atf
"Amazon Basics Folding Plastic Chair with 350-Pound Capacity - 6-Pack, White",$153.43,https://m.media-amazon.com/images/I/71DIQnPJKPL._AC_UL320_.jpg,4.7 out of 5 stars,"6,538",https://www.amazon.com/AmazonBasics-Folding-Plastic-350-Pound-Capacity/dp/B07SPYD4MW/ref=sr_1_2?keywords=chairs&qid=1662880427&sr=8-2
"Home Office Chair Ergonomic Desk Chair Mesh Computer Chair with Lumbar Support Armrest Executive Rolling Swivel Adjustable Mid Back Task Chair for Women Adults, Black",$31.88,https://m.media-amazon.com/images/I/716tq9Y8WOL._AC_UL320_.jpg,4.3 out of 5 stars,"44,511",https://www.amazon.com/Black-Office-Chair-Computer-Adjustable/dp/B00FS3VJAO/ref=sr_1_3?keywords=chairs&qid=1662880427&sr=8-3
"Home Office Chair, Mesh Mid High Back Ergonomic Computer Executive Task Desk with Lumbar Support, Armrest, Rocking Swivel Tilt Function, Wheels, Sponge Seat Cushions for Adult",$59.99,https://m.media-amazon.com/images/I/41Ii1M4QnxL._AC_UL320_.jpg,4.8 out of 5 stars,18,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A0869986PVZCNQ064AFW&url=%2FChair-Mesh-Ergonomic-Computer-Executive%2Fdp%2FB0B6FSDWPX%2Fref%3Dsr_1_4_sspa%3Fkeywords%3Dchairs%26qid%3D1662880427%26sr%3D8-4-spons%26psc%3D1&qualifier=1662880427&id=3740966683477972&widgetName=sp_atf
"Furmax Pre Assembled Modern Style Dining Chair Mid Century Modern DSW Chair, Shell Lounge Plastic Chair for Kitchen, Dining, Bedroom, Living Room Side Chairs Set of 4(White)",$79.99,https://m.media-amazon.com/images/I/51ZcEzEjiIL._AC_UL320_.jpg,4.3 out of 5 stars,"8,100",https://www.amazon.com/Furmax-Assembled-Century-Plastic-Kitchen/dp/B075DCHX5G/ref=sr_1_5?keywords=chairs&qid=1662880427&sr=8-5
Neo Chair Office Computer Desk Chair Gaming-Ergonomic Mid Back Cushion Lumbar Support with Wheels Comfortable Blue Mesh Racing Seat Adjustable Swivel Rolling Home Executive (Black),$59.98,https://m.media-amazon.com/images/I/71EgGUGVrrL._AC_UL320_.jpg,4.0 out of 5 stars,"14,388",https://www.amazon.com/neo-chair-Gaming-Ergonomic-Comfortable-Adjustable/dp/B08KSCDM47/ref=sr_1_6?keywords=chairs&qid=1662880427&sr=8-6
"Furmax Office Chair Mid Back Swivel Lumbar Support Desk Chair, Computer Ergonomic Mesh Chair with Armrest (Black)",$27.98,https://m.media-amazon.com/images/I/71ohGSWApfL._AC_UL320_.jpg,4.2 out of 5 stars,"51,743",https://www.amazon.com/Furmax-Support-Computer-Ergonomic-Armrest/dp/B07B7K7N3P/ref=sr_1_7?keywords=chairs&qid=1662880427&sr=8-7
"Simple Deluxe Task Office Chair, Black",$101.89,https://m.media-amazon.com/images/I/71wy88f9lsL._AC_UL320_.jpg,3.6 out of 5 stars,"2,072",https://www.amazon.com/Simple-Deluxe-Ergonomic-Computer-Adjustable/dp/B08K926VH7/ref=sr_1_8?keywords=chairs&qid=1662880427&sr=8-8
Flash Furniture Hercules™ Series Plastic Folding Chair - Black - 10 Pack 650LB Weight Capacity Comfortable Event Chair-Lightweight Folding Chair,$235.14,https://m.media-amazon.com/images/I/41tCp4xVAcS._AC_UL320_.jpg,4.7 out of 5 stars,"5,542",https://www.amazon.com/Flash-Furniture-HERCULES-Capacity-Premium/dp/B00EQ1TJII/ref=sr_1_9?keywords=chairs&qid=1662880427&sr=8-9
Amazon Basics Classic Faux Leather Office Desk Guest Chair with Metal Frame - Black,$97.50,https://m.media-amazon.com/images/I/71b431kv7XL._AC_UL320_.jpg,4.5 out of 5 stars,"4,072",https://www.amazon.com/AmazonBasics-Classic-Leather-Office-Guest/dp/B072Y5MZQH/ref=sr_1_10?keywords=chairs&qid=1662880427&sr=8-10
