Description,Link,Price,ImageLink,Rating
"Furinno Just 3-Tier Turn-N-Tube End Table / Side Table / Night Stand / Bedside Table with Plastic Poles, 1-Pack, Columbia Walnut/Black",https://www.amazon.com/Furinno-Turn-N-Tube-Bedside-Plastic-Columbia/dp/B07FKX3H1H/ref=sr_1_1?keywords=Table&qid=1662908155&sr=8-1,$21.88,https://m.media-amazon.com/images/I/71fIsr+PutL._AC_UL320_.jpg,4.5 out of 5 stars
"COSCO Deluxe 6 foot x 30 inch Fold-in-Half Blow Molded Folding Table, Black",https://www.amazon.com/Cosco-14678BLK1-Deluxe-Folding-Rectangle/dp/B00DOZTM3O/ref=sr_1_2?keywords=Table&qid=1662908155&sr=8-2,$74.41,https://m.media-amazon.com/images/I/61o-HmSlBLL._AC_UL320_.jpg,4.7 out of 5 stars
"Cubiker Computer Desk 40 inch Home Office Writing Study Desk, Modern Simple Style Laptop Table with Storage Bag, Black",https://www.amazon.com/Cubiker-Writing-Computer-Office-Storage/dp/B07ZRMS16C/ref=sr_1_3?keywords=Table&qid=1662908155&sr=8-3,$69.99,https://m.media-amazon.com/images/I/61mJEF6NpWS._AC_UL320_.jpg,4.6 out of 5 stars
"Snack Side Table, C Shaped Table with Storage Basket, Sofa Table with Metal Frames, Small Snack Tables for Living Room, Bedroom, Rustic Brown",https://www.amazon.com/Shaped-Storage-Basket-Frames-Bedroom/dp/B09MVVBFGX/ref=sr_1_4?keywords=Table&qid=1662908155&sr=8-4,$39.99,https://m.media-amazon.com/images/I/71MdYBG9pTL._AC_UL320_.jpg,4.6 out of 5 stars
"LUFEIYA Small Computer Desk Study Table for Small Spaces Home Office 31 Inch Rustic Student Laptop PC Writing Desks with Storage Bag Headphone Hook,Brown",https://www.amazon.com/Computer-Spaces-Student-Writing-Storage/dp/B08FHRWY3W/ref=sr_1_5?keywords=Table&qid=1662908155&sr=8-5,$69.89,https://m.media-amazon.com/images/I/71zW7KoVnBL._AC_UL320_.jpg,4.6 out of 5 stars
"Homall L Shaped Gaming Desk Computer Corner Desk Pc Gaming Desk Table with Large Monitor Riser Stand for Home Office Sturdy Writing Workstation (Black)",https://www.amazon.com/Homall-Computer-Monitor-Writing-Workstation/dp/B08XQ4FQTP/ref=sr_1_6?keywords=Table&qid=1662908155&sr=8-6,$89.99,https://m.media-amazon.com/images/I/71duv9a2mqL._AC_UL320_.jpg,4.5 out of 5 stars
"ZINUS Jennifer 55 Inch White Frame Desk / Computer Workstation / Office Desk / Dining Table / Easy Assembly, Natural",https://www.amazon.com/Zinus-Jennifer-Collection-Rectangular-Computer/dp/B075F9KTQW/ref=sr_1_7?keywords=Table&qid=1662908155&sr=8-7,$80.63,https://m.media-amazon.com/images/I/31u4CmGJx5L._AC_UL320_.jpg,4.7 out of 5 stars
"SUPER DEAL 2-Tier Industrial Coffee Table with Storage Shelf for Small Apartment Living Room, Rectangle Wood and Stable Metal TV Stand Side End Table, Rustic Brown",https://www.amazon.com/SUPER-DEAL-Storage-Apartment-Rectangle/dp/B08N4TDMF4/ref=sr_1_8?keywords=Table&qid=1662908155&sr=8-8,$59.99,https://m.media-amazon.com/images/I/71rI9AJDLWS._AC_UL320_.jpg,4.6 out of 5 stars
"Folding Table 4FT Picnic Table Adjustable Height Plastic Table Camping Table Office Table for Home Office Party Picnic",https://www.amazon.com/Folding-Table-Adjustable-Plastic-Camping/dp/B0B8785319/ref=sr_1_9?keywords=Table&qid=1662908155&sr=8-9,$29.99,https://m.media-amazon.com/images/I/61YteP6XTpL._AC_UL320_.jpg,4.5 out of 5 stars
"HOOBRO Side Table, 3-Tier Narrow End Table, Nightstand with 2 Flat or Slant Adjustable Shelves for Small Spaces, Hallway, Living Room, Bedroom, Sturdy, Easy Assembly, Rustic Brown and Black BF23BZ01",https://www.amazon.com/HOOBRO-Nightstand-Adjustable-Assembly-BF23BZ01/dp/B086KWJXLC/ref=sr_1_10?keywords=Table&qid=1662908155&sr=8-10,$59.99,https://m.media-amazon.com/images/I/71ho9v8OqUL._AC_UL320_.jpg,4.7 out of 5 stars
